id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
RC105,RC105,Core walls; jumpform; 150-450mm thk,m3,RC works,"Reinforced Concrete C40, RC40",199.3,RCworks!147,199.3,RCworks!A147,RC works,wall
RC106,RC106,Core walls; slipform (shift slipping); 150-450mm thick A,m3,RC works,"Reinforced Concrete C40, RC40",165.7,RCworks!148,165.7,RCworks!A148,RC works,450mmthick|wall
RC107,RC107,Core walls; slipform (24/7 slipping); ex 450mm thk,m3,RC works,"Reinforced Concrete C40, RC40",283.82,RCworks!149,283.82,RCworks!A149,RC works,wall
RC108,RC108,Walls; ex 450mm thk,m3,RC works,"Reinforced Concrete C40, RC40",195.37,RCworks!150,195.37,RCworks!A150,RC works,wall
RC109,RC109,Corbels,m3,RC works,"Reinforced Concrete C40, RC40",268.03,RCworks!151,268.03,RCworks!A151,RC works,
RC110,RC110,Attached piers/cols,m3,RC works,"Reinforced Concrete C40, RC40",197.46,RCworks!152,197.46,RCworks!A152,RC works,
RC111,RC111,Columns,m3,RC works,"Reinforced Concrete C40, RC40",200.59,RCworks!153,200.59,RCworks!A153,RC works,column
RC112,RC112,Column casings,m3,RC works,"Reinforced Concrete C40, RC40",299.64,RCworks!154,299.64,RCworks!A154,RC works,column
RC113,RC113,Upstands/parapets,m3,RC works,"Reinforced Concrete C40, RC40",214.68,RCworks!155,214.68,RCworks!A155,RC works,
RC114,RC114,Plinths,m3,RC works,"Reinforced Concrete C40, RC40",214.03,RCworks!156,214.03,RCworks!A156,RC works,
RC115,RC115,Stairs / landings,m3,RC works,"Reinforced Concrete C40, RC40",217.69,RCworks!157,217.69,RCworks!A157,RC works,
RC116,RC116,Topping slabs to metal decking; not exceeding 150mm thk,m3,RC works,"Reinforced Concrete C40, RC40",191.05,RCworks!158,191.05,RCworks!A158,RC works,slab
RC117,RC117,Concrete screed 75mm thk,m2,RC works,"Reinforced Concrete C40, RC40",28.66,RCworks!159,28.66,RCworks!A159,RC works,concrete
RC118,RC118,Pile caps/foundations/bases,m3,RC works,Reinforced Concrete C45; DS/DC/AC-2/3/4,177.18,RCworks!162,177.18,RCworks!A162,RC works,foundation
RC119,RC119,Ground beams,m3,RC works,Reinforced Concrete C45; DS/DC/AC-2/3/4,178.49,RCworks!163,178.49,RCworks!A163,RC works,beam
RC120,RC120,Bed; 150-450mm thk,m3,RC works,Reinforced Concrete C45; DS/DC/AC-2/3/4,180.69,RCworks!164,180.69,RCworks!A164,RC works,
RC121,RC121,Bed; ex 450mm thk,m3,RC works,Reinforced Concrete C45; DS/DC/AC-2/3/4,179.67,RCworks!165,179.67,RCworks!A165,RC works,
RC122,RC122,Steps in slabs/Upstands/Pit walls/Sumps; 150-450,m3,RC works,Reinforced Concrete C45; DS/DC/AC-2/3/4,222.35,RCworks!166,222.35,RCworks!A166,RC works,slab|wall
RC123,RC123,Capping beam,m3,RC works,Reinforced Concrete C45; DS/DC/AC-2/3/4,187.13,RCworks!167,187.13,RCworks!A167,RC works,beam
RC124,RC124,Slabs; 150-450mm thk,m3,RC works,Reinforced Concrete C45; DS/DC/AC-2/3/4,181.8,RCworks!168,181.8,RCworks!A168,RC works,slab
RC125,RC125,Walls; 150-450mm thk,m3,RC works,Reinforced Concrete C45; DS/DC/AC-2/3/4,200.52,RCworks!169,200.52,RCworks!A169,RC works,wall
RC126,RC126,Walls; not exceeding 150mm thk,m3,RC works,Reinforced Concrete C45,214.73,RCworks!172,214.73,RCworks!A172,RC works,wall
RC127,RC127,Walls; 150-450mm thk,m3,RC works,Reinforced Concrete C45,200.52,RCworks!173,200.52,RCworks!A173,RC works,wall
RC128,RC128,Walls; 150-450mm thk; colour pigment added,m3,RC works,Reinforced Concrete C45,849.93,RCworks!174,849.93,RCworks!A174,RC works,wall
RC129,RC129,Walls; slipform (shift slipping); 150-450mm thk,m3,RC works,Reinforced Concrete C45,169.33,RCworks!175,169.33,RCworks!A175,RC works,wall
RC130,RC130,Slabs; not exceeding 150mm thk,m3,RC works,Reinforced Concrete C45,194.64,RCworks!176,194.64,RCworks!A176,RC works,slab
RC131,RC131,Slabs; 150-450mm thk,m3,RC works,Reinforced Concrete C45,183,RCworks!177,183,RCworks!A177,RC works,slab
RC132,RC132,Slabs; 150-450mm thk; PT slab,m3,RC works,Reinforced Concrete C45,183,RCworks!178,183,RCworks!A178,RC works,slab
RC133,RC133,Slabs; ex 450mm thk,m3,RC works,Reinforced Concrete C45,182.46,RCworks!179,182.46,RCworks!A179,RC works,slab
RC134,RC134,Attached beams,m3,RC works,Reinforced Concrete C45,183,RCworks!180,183,RCworks!A180,RC works,beam
RC135,RC135,Isolated beams,m3,RC works,Reinforced Concrete C45,251.31,RCworks!181,251.31,RCworks!A181,RC works,beam
RC136,RC136,Columns,m3,RC works,Reinforced Concrete C45,204.18,RCworks!182,204.18,RCworks!A182,RC works,column
RC137,RC137,Upstands,m3,RC works,Reinforced Concrete C45,218.38,RCworks!183,218.38,RCworks!A183,RC works,
RC138,RC138,Plinths,m3,RC works,Reinforced Concrete C45,217.63,RCworks!184,217.63,RCworks!A184,RC works,
RC139,RC139,Stairs / landings,m3,RC works,Reinforced Concrete C45,221.28,RCworks!185,221.28,RCworks!A185,RC works,
RC140,RC140,Corbel,m3,RC works,Reinforced Concrete C45,233.87,RCworks!186,233.87,RCworks!A186,RC works,
RC141,RC141,Topping slabs to metal decking; not exceeding 150mm thk,m3,RC works,Reinforced Concrete C45,194.64,RCworks!187,194.64,RCworks!A187,RC works,slab
RC142,RC142,Bed; 150-450mm thk,m3,RC works,"Reinforced Concrete C40, RC40 Air Entrained PQC",204.88,RCworks!190,204.88,RCworks!A190,RC works,
RC143,RC143,Bed; ex 450mm thk,m3,RC works,"Reinforced Concrete C40, RC40 Air Entrained PQC",204.62,RCworks!191,204.62,RCworks!A191,RC works,
RC144,RC144,Bed; not exceeding 150mm thk,m3,RC works,"Reinforced Concrete C40, RC40 with fibre reinforcement",237.06,RCworks!194,237.06,RCworks!A194,RC works,
RC145,RC145,Bed; 150-450mm thk,m3,RC works,"Reinforced Concrete C40, RC40 with fibre reinforcement",226.65,RCworks!195,226.65,RCworks!A195,RC works,
RC146,RC146,Topping slabs to metal decking; not exceeding 150mm thk,m3,RC works,Reinforced Lightweight Concrete LC 32/35 Lytag,295.25,RCworks!198,295.25,RCworks!A198,RC works,slab
RC147,RC147,Topping slabs to metal decking; 150-450mm thk,m3,RC works,Reinforced Lightweight Concrete LC 32/35 Lytag,285.11,RCworks!199,285.11,RCworks!A199,RC works,slab
RC148,RC148,Topping slabs to metal decking; not exceeding 150mm thk,m3,RC works,Reinforced Lightweight Concrete LC 35/38 Lytag,300.04,RCworks!202,300.04,RCworks!A202,RC works,slab
RC149,RC149,Topping slabs to metal decking; 150-450mm thk,m3,RC works,Reinforced Lightweight Concrete LC 35/38 Lytag,289.9,RCworks!203,289.9,RCworks!A203,RC works,slab
RC150,RC150,Attached beams (poured seperately),m3,RC works,Reinforced Concrete C40; Self Compacting,225.77,RCworks!206,225.77,RCworks!A206,RC works,beam
RC151,RC151,Isolated beams,m3,RC works,Reinforced Concrete C40; Self Compacting,289.13,RCworks!207,289.13,RCworks!A207,RC works,beam
RC152,RC152,Columns,m3,RC works,Reinforced Concrete C40; Self Compacting,247.91,RCworks!208,247.91,RCworks!A208,RC works,column
RC153,RC153,Infill hollow twin wall units,m3,RC works,Reinforced Concrete C40; Self Compacting,255.89,RCworks!209,255.89,RCworks!A209,RC works,wall
RC154,RC154,Pile caps/foundations/bases,m3,RC works,"Reinforced Concrete C50, RC50; DS/DC/AC-2/3/4",182.02,RCworks!212,182.02,RCworks!A212,RC works,foundation
RC155,RC155,Ground beams,m3,RC works,"Reinforced Concrete C50, RC50; DS/DC/AC-2/3/4",183.32,RCworks!213,183.32,RCworks!A213,RC works,beam
RC156,RC156,Bed; 150-450mm thk,m3,RC works,"Reinforced Concrete C50, RC50; DS/DC/AC-2/3/4",185.53,RCworks!214,185.53,RCworks!A214,RC works,
RC157,RC157,Bed; 150-450mm thk; sloping,m3,RC works,"Reinforced Concrete C50, RC50; DS/DC/AC-2/3/4",189.32,RCworks!215,189.32,RCworks!A215,RC works,
RC158,RC158,Bed; ex 450mm thk,m3,RC works,"Reinforced Concrete C50, RC50; DS/DC/AC-2/3/4",184.51,RCworks!216,184.51,RCworks!A216,RC works,
RC159,RC159,Steps in slabs/Upstands/Pit walls; 150-450,m3,RC works,"Reinforced Concrete C50, RC50; DS/DC/AC-2/3/4",225.97,RCworks!217,225.97,RCworks!A217,RC works,slab|wall
RC160,RC160,Capping beam,m3,RC works,"Reinforced Concrete C50, RC50; DS/DC/AC-2/3/4",191.96,RCworks!218,191.96,RCworks!A218,RC works,beam
RC161,RC161,Walls; 150-450mm thk,m3,RC works,"Reinforced Concrete C50, RC50; DS/DC/AC-2/3/4",205.31,RCworks!219,205.31,RCworks!A219,RC works,wall
RC162,RC162,Walls; ex 450mm thk,m3,RC works,"Reinforced Concrete C50, RC50; DS/DC/AC-2/3/4",203.76,RCworks!220,203.76,RCworks!A220,RC works,wall
RC163,RC163,Upstands,m3,RC works,"Reinforced Concrete C50, RC50; DS/DC/AC-2/3/4",223.07,RCworks!221,223.07,RCworks!A221,RC works,
RC164,RC164,Stairs / Steps,m3,RC works,"Reinforced Concrete C50, RC50; DS/DC/AC-2/3/4",227.67,RCworks!222,227.67,RCworks!A222,RC works,
RC165,RC165,Slabs; 150-450mm thk,m3,RC works,"Reinforced Concrete C50, RC50",188.98,RCworks!225,188.98,RCworks!A225,RC works,slab
RC166,RC166,Slabs; 150-450mm thk; sloping/to falls,m3,RC works,"Reinforced Concrete C50, RC50",192.83,RCworks!226,192.83,RCworks!A226,RC works,slab
RC167,RC167,PT Slabs; 150-450mm thk,m3,RC works,"Reinforced Concrete C50, RC50",188.98,RCworks!227,188.98,RCworks!A227,RC works,slab
RC168,RC168,Slabs; ex 450mm thk,m3,RC works,"Reinforced Concrete C50, RC50",188.45,RCworks!228,188.45,RCworks!A228,RC works,slab
RC169,RC169,Attached beams,m3,RC works,"Reinforced Concrete C50, RC50",188.98,RCworks!229,188.98,RCworks!A229,RC works,beam
RC170,RC170,Attached PT beams,m3,RC works,"Reinforced Concrete C50, RC50",188.98,RCworks!230,188.98,RCworks!A230,RC works,beam
RC171,RC171,Isolated beams,m3,RC works,"Reinforced Concrete C50, RC50",256.1,RCworks!231,256.1,RCworks!A231,RC works,beam
