id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
SER416,SER373,Pipework accessories & fittings; UPVC; 200 x 200 branch,item,Services,Plumbing Works,89.92,Services!I524,89.92,Services!A524,Services,"pvc,pipe,plumbing_works"
SER417,SER374,Pipework accessories & fittings; UPVC; 250mm dia; bend,nr,Services,Plumbing Works,366.56,Services!I525,366.56,Services!A525,Services,"250mm,pvc,pipe,plumbing_works"
SER418,SER375,Pipework accessories & fittings; UPVC; 250mm dia; rocker,nr,Services,Plumbing Works,172.67,Services!I526,172.67,Services!A526,Services,"250mm,pvc,pipe,plumbing_works"
SER419,SER376,Pipework accessories & fittings; UPVC; 250 x 100/160 branch,item,Services,Plumbing Works,183.94,Services!I527,183.94,Services!A527,Services,"pvc,pipe,plumbing_works"
SER420,SER377,Pipework accessories & fittings; UPVC; 250 x 250 branch,item,Services,Plumbing Works,267.83,Services!I528,267.83,Services!A528,Services,"pvc,pipe,plumbing_works"
SER421,SER378,Pipework accessories & fittings; Cast Iron; Ensign; 100mm dia; bend,nr,Services,Plumbing Works,58.27,Services!I530,58.27,Services!A530,Services,"100mm,pipe,plumbing_works"
SER422,SER379,Pipework accessories & fittings; Cast Iron; Ensign; 100mm dia; rest bend,nr,Services,Plumbing Works,68.54,Services!I531,68.54,Services!A531,Services,"100mm,pipe,plumbing_works"
SER423,SER380,Pipework accessories & fittings; Cast Iron; Ensign; 100mm dia; rocker,nr,Services,Plumbing Works,42.86,Services!I532,42.86,Services!A532,Services,"100mm,pipe,plumbing_works"
SER424,SER381,Pipework accessories & fittings; Cast Iron; Ensign; 100mm dia; vertical pipework; inc conc surround,m,Services,Plumbing Works,96.86,Services!I533,96.86,Services!A533,Services,"100mm,pipe,plumbing_works"
SER425,SER382,Pipework accessories & fittings; Cast Iron; Ensign; 100 x 100 branch,item,Services,Plumbing Works,70.71,Services!I534,70.71,Services!A534,Services,"pipe,plumbing_works"
SER426,SER383,Pipework accessories & fittings; Cast Iron; Ensign; 150mm dia; bend,nr,Services,Plumbing Works,147.41,Services!I535,147.41,Services!A535,Services,"150mm,pipe,plumbing_works"
SER427,SER384,Pipework accessories & fittings; Cast Iron; Ensign; 150mm dia; rest bend,nr,Services,Plumbing Works,151.69,Services!I536,151.69,Services!A536,Services,"150mm,pipe,plumbing_works"
SER428,SER385,Pipework accessories & fittings; Cast Iron; Ensign; 150mm dia; rocker,nr,Services,Plumbing Works,81.66,Services!I537,81.66,Services!A537,Services,"150mm,pipe,plumbing_works"
SER429,SER386,Pipework accessories & fittings; Cast Iron; Ensign; 150 x 100 branch,item,Services,Plumbing Works,156.27,Services!I538,156.27,Services!A538,Services,"pipe,plumbing_works"
SER430,SER387,Pipework accessories & fittings; Cast Iron; Ensign; 150 x 150 branch,item,Services,Plumbing Works,167.85,Services!I539,167.85,Services!A539,Services,"pipe,plumbing_works"
SER431,SER388,Pipework accessories & fittings; Cast Iron; Ensign; 150mm dia; vertical pipework; inc conc surround,m,Services,Plumbing Works,139.76,Services!I540,139.76,Services!A540,Services,"150mm,pipe,plumbing_works"
