id,code,original_code,description,unit,category,subcategory,work_type,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
SV0228,510,510,Reinforcement; in base slab; allow 150kg/m3,item,Services,General Services,Services Works,,,,A713,Services,general_services
SV0229,511,511,Surface finishes; tamp finish,item,Services,General Services,Services Works,,,,A714,Services,general_services
SV0230,512,512,Benching; 1050 dia,item,Services,General Services,Services Works,,,,A715,Services,general_services
SV0231,513,513,Benching; 1200 dia,item,Services,General Services,Services Works,,,,A716,Services,general_services
SV0232,514,514,Benching; 1500 dia,item,Services,General Services,Services Works,,,,A717,Services,general_services
SV0233,515,515,Benching; 1800 dia,item,Services,General Services,Services Works,,,,A718,Services,general_services
SV0234,516,516,Benching; 2100 dia,item,Services,General Services,Services Works,,,,A719,Services,general_services
SV0235,517,517,Manhole rings; 900 dia,item,Services,General Services,Services Works,,,,A720,Services,general_services
SV0236,518,518,Manhole rings; 1050 dia,item,Services,General Services,Services Works,,,,A721,Services,general_services
SV0237,519,519,Manhole rings; 1200 dia,item,Services,General Services,Services Works,,,,A722,Services,general_services
SV0238,520,520,Manhole rings; 1500 dia,item,Services,General Services,Services Works,,,,A723,Services,general_services
SV0239,521,521,Manhole rings; 1800 dia,item,Services,General Services,Services Works,,,,A724,Services,general_services
SV0240,522,522,Manhole rings; 2100 dia,item,Services,General Services,Services Works,,,,A725,Services,general_services
SV0241,523,523,Manhole rings; 2400 dia,item,Services,General Services,Services Works,,,,A726,Services,general_services
SV0242,524,524,Manhole rings; 2700 dia,item,Services,General Services,Services Works,,,,A727,Services,general_services
SV0243,525,525,Manhole rings; 3000 dia,item,Services,General Services,Services Works,,,,A728,Services,general_services
SV0244,526,526,Caisson rings; 3600 dia,item,Services,General Services,Services Works,,,,A729,Services,general_services
SV0245,527,527,Caisson rings; 4000 dia,item,Services,General Services,Services Works,,,,A730,Services,general_services
SV0246,528,528,Cover slabs; 900 dia,item,Services,General Services,Services Works,,,,A731,Services,general_services
SV0247,529,529,Cover slabs; 1050 dia,item,Services,General Services,Services Works,,,,A732,Services,general_services
SV0248,530,530,Cover slabs; 1200 dia,item,Services,General Services,Services Works,,,,A733,Services,general_services
SV0249,531,531,Cover slabs; 1500 dia,item,Services,General Services,Services Works,,,,A734,Services,general_services
SV0250,532,532,Cover slabs; 1800 dia,item,Services,General Services,Services Works,,,,A735,Services,general_services
SV0251,533,533,Cover slabs; 2100 dia,item,Services,General Services,Services Works,,,,A736,Services,general_services
SV0252,534,534,Cover slabs; 2400 dia,item,Services,General Services,Services Works,,,,A737,Services,general_services
SV0253,535,535,Cover slabs; 2700 dia,item,Services,General Services,Services Works,,,,A738,Services,general_services
SV0254,536,536,Cover slabs; 3000 dia,item,Services,General Services,Services Works,,,,A739,Services,general_services
SV0255,537,537,Cover slabs; 3600 dia,item,Services,General Services,Services Works,,,,A740,Services,general_services
SV0256,538,538,Cover slabs; 4000 dia,item,Services,General Services,Services Works,,,,A741,Services,general_services
SV0257,539,539,Main channel; 100 dia,item,Services,General Services,Services Works,,,,A742,Services,general_services
SV0258,540,540,Main channel; 150 dia,item,Services,General Services,Services Works,,,,A743,Services,general_services
SV0259,541,541,Main channel; 225 dia,item,Services,General Services,Services Works,,,,A744,Services,general_services
