id,code,original_code,description,unit,category,subcategory,work_type,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
DR_0044_Drainage,DR0044,47,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 1.75 - 2 m,m,Drainage,Pipework,Drainage Works,61.11,Drainage!O70,61.11,Drainage!A70,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0045_Drainage,DR0045,48,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2 - 2.25 m,m,Drainage,Pipework,Drainage Works,84.17,Drainage!O71,84.17,Drainage!A71,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0046_Drainage,DR0046,49,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2.25 - 2.5 m,m,Drainage,Pipework,Drainage Works,95.7,Drainage!O72,95.7,Drainage!A72,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0047_Drainage,DR0047,50,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2.5 - 2.75 m,m,Drainage,Pipework,Drainage Works,116.06,Drainage!O73,116.06,Drainage!A73,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0048_Drainage,DR0048,51,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 2.75 - 3 m,m,Drainage,Pipework,Drainage Works,134.69,Drainage!O74,134.69,Drainage!A74,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0049_Drainage,DR0049,52,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3 - 3.25 m,m,Drainage,Pipework,Drainage Works,144.18,Drainage!O75,144.18,Drainage!A75,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0050_Drainage,DR0050,53,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3.25 - 3.5 m,m,Drainage,Pipework,Drainage Works,153.67,Drainage!O76,153.67,Drainage!A76,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0051_Drainage,DR0051,54,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3.5 - 3.75 m,m,Drainage,Pipework,Drainage Works,210.49,Drainage!O77,210.49,Drainage!A77,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0052_Drainage,DR0052,55,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3.75 - 4 m,m,Drainage,Pipework,Drainage Works,222.67,Drainage!O78,222.67,Drainage!A78,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0053_Drainage,DR0053,56,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4 - 4.25 m,m,Drainage,Pipework,Drainage Works,287.56,Drainage!O79,287.56,Drainage!A79,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0054_Drainage,DR0054,57,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4.25 - 4.5 m,m,Drainage,Pipework,Drainage Works,302.43,Drainage!O80,302.43,Drainage!A80,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0055_Drainage,DR0055,58,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4.5 - 4.75 m,m,Drainage,Pipework,Drainage Works,317.3,Drainage!O81,317.3,Drainage!A81,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0056_Drainage,DR0056,59,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4.75 - 5 m,m,Drainage,Pipework,Drainage Works,332.18,Drainage!O82,332.18,Drainage!A82,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0057_Drainage,DR0057,60,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5 - 5.25 m,m,Drainage,Pipework,Drainage Works,347.05,Drainage!O83,347.05,Drainage!A83,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0058_Drainage,DR0058,61,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5.25 - 5.5 m,m,Drainage,Pipework,Drainage Works,361.92,Drainage!O84,361.92,Drainage!A84,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0059_Drainage,DR0059,62,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5.5 - 5.75 m,m,Drainage,Pipework,Drainage Works,376.79,Drainage!O85,376.79,Drainage!A85,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0060_Drainage,DR0060,63,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5.75 - 6 m,m,Drainage,Pipework,Drainage Works,391.66,Drainage!O86,391.66,Drainage!A86,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0061_Drainage,DR0061,64,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 6 - 6.25 m,m,Drainage,Pipework,Drainage Works,406.54,Drainage!O87,406.54,Drainage!A87,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0062_Drainage,DR0062,65,Excavate trenches for 225mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 6.25 - 6.5 m,m,Drainage,Pipework,Drainage Works,421.41,Drainage!O88,421.41,Drainage!A88,Drainage,225mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0063_Drainage,DR0063,66,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: not exceeding 0.5 m,m,Drainage,Pipework,Drainage Works,20.14,Drainage!O90,20.14,Drainage!A90,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0064_Drainage,DR0064,67,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 0.5 - 0.75 m,m,Drainage,Pipework,Drainage Works,23.96,Drainage!O91,23.96,Drainage!A91,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
